FOM,Assemble,7.683785e-01
FOM,Solve,1.240089e-01
FOM,Assemble,7.997746e-01
FOM,Solve,1.226332e-01
FOM,Assemble,7.501926e-01
FOM,Solve,1.223049e-01
FOM,Assemble,7.298212e-01
FOM,Solve,1.247342e-01
FOM,Assemble,7.247005e-01
FOM,Solve,1.181386e-01
FOM,Assemble,7.257211e-01
FOM,Solve,1.217942e-01
FOM,Assemble,7.245202e-01
FOM,Solve,1.194026e-01
FOM,Assemble,6.965899e-01
FOM,Solve,1.236591e-01
FOM,Assemble,7.437563e-01
FOM,Solve,1.230273e-01
FOM,Assemble,7.050695e-01
FOM,Solve,1.204669e-01
FOM,Assemble,7.369566e-01
FOM,Solve,1.231077e-01
FOM,Assemble,7.010112e-01
FOM,Solve,1.168151e-01
FOM,Assemble,7.397296e-01
FOM,Solve,1.230245e-01
FOM,Assemble,2.158976e+00
FOM,Solve,5.614746e-01
FOM,Assemble,2.149697e+00
FOM,Solve,5.889447e-01
